COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20160101,P,9,4,7,9,12,24,54,99,134,198,306,421,487,564,565,734,701,581,335,200,124,62,29,30,01/01/2016
000223,20160101,S,17,11,6,11,11,23,92,398,446,485,507,543,471,443,391,342,310,225,156,132,113,72,36,29,01/01/2016
000223,20160102,P,6,8,6,10,26,57,97,167,208,328,516,645,731,775,841,1001,1000,867,500,303,222,126,53,23,01/02/2016
000223,20160102,S,11,3,6,5,18,52,240,633,572,525,574,558,452,275,225,220,178,149,120,104,87,67,42,27,01/02/2016
000223,20160103,P,6,7,5,12,16,29,65,129,225,496,782,887,762,619,594,705,659,447,315,333,204,106,35,21,01/03/2016
000223,20160103,S,19,9,11,8,15,35,97,544,458,323,329,266,209,180,159,178,150,125,86,114,76,60,34,26,01/03/2016
000223,20160105,P,7,1,2,2,7,22,65,62,118,160,168,198,206,223,305,371,427,238,168,76,30,26,13,13,01/05/2016
000223,20160105,S,12,10,3,12,27,99,56,133,279,323,290,196,153,127,138,146,163,138,105,91,78,60,40,27,01/05/2016
000223,20160106,P,5,5,0,3,9,28,72,69,94,156,142,177,184,219,311,337,419,227,153,75,29,23,20,12,01/06/2016
000223,20160106,S,13,7,6,7,33,103,65,170,289,306,217,188,138,144,138,169,165,174,100,105,72,75,56,40,01/06/2016
000223,20160107,P,2,7,7,8,4,17,60,68,115,138,176,147,143,171,259,254,346,230,143,54,31,33,17,8,01/07/2016
000223,20160107,S,17,3,3,12,17,92,69,164,276,291,198,166,130,133,146,162,217,174,120,119,120,92,45,32,01/07/2016
000223,20160108,P,2,5,2,6,7,7,47,53,142,141,171,188,185,221,306,380,449,255,154,80,38,22,26,11,01/08/2016
000223,20160108,S,13,3,10,6,21,77,53,132,281,419,358,268,203,191,269,283,525,667,567,519,399,250,117,52,01/08/2016
000223,20160109,P,6,2,4,9,5,15,45,94,94,142,195,211,275,388,527,707,684,664,499,145,98,69,27,24,01/09/2016
000223,20160109,S,31,17,6,6,22,67,368,748,532,539,615,558,322,231,240,205,178,213,162,102,85,63,45,31,01/09/2016
000223,20160110,P,10,8,3,7,6,26,43,108,125,267,511,625,643,679,672,692,660,680,653,442,256,81,31,27,01/10/2016
000223,20160110,S,14,13,6,6,16,30,174,718,668,436,305,266,177,133,145,132,114,125,78,77,31,42,28,19,01/10/2016
000223,20160120,P,3,1,3,5,7,12,43,78,92,109,105,130,131,140,304,279,309,220,113,41,27,21,12,10,01/20/2016
000223,20160120,S,9,8,1,10,26,98,60,163,273,266,165,158,110,102,132,126,135,109,74,91,59,51,38,27,01/20/2016
000223,20160121,P,7,4,2,4,8,17,37,80,87,119,139,135,171,241,308,348,433,270,129,48,41,18,10,15,01/21/2016
000223,20160121,S,15,2,6,8,18,97,79,218,394,386,251,169,154,154,145,198,188,195,122,101,131,127,69,28,01/21/2016
000223,20160123,P,6,7,3,2,5,9,30,56,64,133,174,222,219,367,600,828,989,677,425,257,177,104,41,23,01/23/2016
