SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,244.9,1/2/2016,700.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739074,-105.431989,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,289.05,1/2/2016,810.0,PDO,OFF RIGHT,RAMP,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.74013,-104.717704,68,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.7,1/3/2016,750.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY W/VIS ICY ROAD TREATMENT,DAYLIGHT,39.728988,-105.42438,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/3/2016,1756.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.739801,-105.159144,24,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,247.7,1/4/2016,1230.0,INJ,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.715491,-105.389631,21,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,238.0,1/4/2016,1520.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.749552,-105.548763,23,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.0,1/4/2016,1730.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,WET,DARK-UNLIGHTED,39.741308,-105.513778,36,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,317.0,1/4/2016,1950.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.708999,-104.204016,21,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,238.84,1/4/2016,2240.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.744582,-105.536443,80,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,289.7,1/6/2016,1520.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740114,-104.706189,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.64,1/7/2016,658.0,PDO,ON,RAMP,2,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.730945,-105.170301,42,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.4,1/7/2016,1752.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.719149,-105.18826,65,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.0,1/8/2016,1950.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.724894,-105.179757,17,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,227.7,1/9/2016,1055.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.712362,-105.697016,26,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.0,1/10/2016,1810.0,INJ,OFF LEFT,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.734373,-105.165983,65,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,249.0,1/10/2016,2203.0,INJ,OFF LEFT,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.713418,-105.367857,24,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.9,1/12/2016,620.0,INJ,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.712957,-105.305904,24,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.5,1/12/2016,1200.0,INJ,OFF IN MEDIAN,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.729498,-105.172306,55,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.25,1/12/2016,1645.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,DRY,DAWN OR DUSK,39.744474,-105.456571,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.52,1/13/2016,137.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DARK-LIGHTED,39.744203,-105.434611,31,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.0,1/13/2016,1400.0,PDO,ON,NON-INTERSECTION,3,CURVE ON-LEVEL,DRY,DAYLIGHT,39.741308,-105.513778,67,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,294.9,1/14/2016,1330.0,FAT,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740289,-104.61,62,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.0,1/14/2016,2018.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,WET,DARK-LIGHTED,39.746291,-105.460542,52,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.0,1/15/2016,1720.0,PDO,ON,NON-INTERSECTION,3,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.737695,-105.431191,74,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.0,1/15/2016,1945.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.743474,-105.443466,27,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,306.8,1/15/2016,2323.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,SNOWY,DARK-UNLIGHTED,39.734574,-104.388492,27,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,229.3,1/16/2016,1115.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.734252,-105.689652,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,249.1,1/16/2016,1415.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.712697,-105.366282,74,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.6,1/17/2016,1700.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.744653,-105.487463,49,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.5,1/17/2016,2000.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DARK-LIGHTED,39.745222,-105.47048,23,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.5,1/18/2016,704.0,PDO,ON,NON-INTERSECTION,5,STRAIGHT ON-GRADE,DRY,DAWN OR DUSK,39.731256,-105.426689,42,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.8,1/18/2016,1030.0,INJ,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.740481,-105.432702,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,153.5,1/20/2016,1610.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-LEVEL,SNOWY,DAWN OR DUSK,39.708025,-106.718361,48,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.97,1/20/2016,1735.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.734087,-105.166343,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.7,1/21/2016,1619.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.744297,-105.448811,23,M,NO IMPAIRMENT SUSPECTED
