SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,290.98,1/1/2015,1518.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,SNOWY,DAYLIGHT,39.740038,-104.682668,16,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,239.1,1/2/2015,1124.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,WET,DAYLIGHT,39.743193,-105.530377,16,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/2/2015,1630.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-LEVEL,WET,DAWN OR DUSK,39.739791,-105.159158,56,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.0,1/3/2015,739.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,WET,DAWN OR DUSK,39.709008,-105.286147,22,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.82,1/4/2015,1155.0,PDO,ON,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DAYLIGHT,39.742296,-105.156027,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,292.7,1/4/2015,1445.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.73929,-104.650587,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.0,1/5/2015,840.0,PDO,ON,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.7412,-105.495991,64,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,228.8,1/5/2015,1250.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.728005,-105.693419,27,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.5,1/5/2015,1616.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,WET,DAYLIGHT,39.744354,-105.434957,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.5,1/5/2015,1700.0,INJ,ON,NON-INTERSECTION,4,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,39.744412,-105.488961,25,M,NO IMPAIRMENT SUSPECTED
